Bug2 Simulation Log
Scene: 030   Date: 2026-04-15 14:23:19
======================================================================

Family: sparse
Result: SUCCESS  (88 steps)
--------------------------------------------------
  step    0 | (1.6876, 0.8205) | start
  step    1 | (1.6802, 0.8901) | goal mode
  step    2 | (1.6727, 0.9597) | goal mode
  step    3 | (1.6652, 1.0293) | goal mode
  step    4 | (1.6577, 1.0989) | goal mode
  step    5 | (1.6502, 1.1685) | goal mode
  step    6 | (1.6427, 1.2381) | goal mode
  step    7 | (1.6352, 1.3077) | goal mode
  step    8 | (1.6277, 1.3773) | goal mode
  step    9 | (1.6202, 1.4469) | goal mode
  step   10 | (1.6202, 1.4469) | sensed [10]
  step   11 | (1.6128, 1.5165) | goal mode
  step   12 | (1.6053, 1.5861) | goal mode
  step   13 | (1.5978, 1.6557) | goal mode
  step   14 | (1.5903, 1.7253) | goal mode
  step   15 | (1.5828, 1.7949) | goal mode
  step   16 | (1.5753, 1.8645) | goal mode
  step   17 | (1.5678, 1.9341) | goal mode
  step   18 | (1.5678, 1.9341) | obstacle hit (d=2.83) — boundary mode
  step   19 | (1.4982, 1.9266) | boundary mode
  step   20 | (1.4310, 1.9071) | boundary mode
  step   21 | (1.3611, 1.9118) | boundary mode
  step   22 | (1.2932, 1.9286) | boundary mode
  step   23 | (1.2932, 1.9286) | sensed [2]
  step   24 | (1.2292, 1.9569) | boundary mode
  step   25 | (1.1710, 1.9959) | boundary mode
  step   26 | (1.1206, 2.0444) | boundary mode
  step   27 | (1.0793, 2.1009) | boundary mode
  step   28 | (1.0598, 2.1682) | boundary mode
  step   29 | (1.0404, 2.2354) | boundary mode
  step   30 | (1.0451, 2.3053) | boundary mode
  step   31 | (1.0498, 2.3751) | boundary mode
  step   32 | (0.9858, 2.4034) | boundary mode
  step   33 | (0.9159, 2.4081) | boundary mode
  step   34 | (0.8480, 2.4249) | boundary mode
  step   35 | (0.7839, 2.4532) | boundary mode
  step   36 | (0.7199, 2.4815) | boundary mode
  step   37 | (0.6618, 2.5205) | boundary mode
  step   38 | (0.6037, 2.5595) | boundary mode
  step   39 | (0.5624, 2.6160) | boundary mode
  step   40 | (0.5211, 2.6726) | boundary mode
  step   41 | (0.4798, 2.7291) | boundary mode
  step   42 | (0.4603, 2.7963) | boundary mode
  step   43 | (0.4409, 2.8636) | boundary mode
  step   44 | (0.4334, 2.9332) | boundary mode
  step   45 | (0.4259, 3.0028) | boundary mode
  step   46 | (0.4427, 3.0707) | boundary mode
  step   47 | (0.4594, 3.1387) | boundary mode
  step   48 | (0.4762, 3.2067) | boundary mode
  step   49 | (0.5152, 3.2648) | boundary mode
  step   50 | (0.5542, 3.3229) | boundary mode
  step   51 | (0.6027, 3.3734) | boundary mode
  step   52 | (0.6512, 3.4239) | boundary mode
  step   53 | (0.7140, 3.4547) | boundary mode
  step   54 | (0.7769, 3.4856) | boundary mode
  step   55 | (0.8397, 3.5164) | boundary mode
  step   56 | (0.9093, 3.5239) | boundary mode
  step   57 | (0.9789, 3.5314) | boundary mode
  step   58 | (0.9789, 3.5314) | sensed [5, 8]
  step   59 | (1.0485, 3.5389) | boundary mode
  step   60 | (1.1165, 3.5221) | boundary mode
  step   61 | (1.1844, 3.5053) | boundary mode
  step   62 | (1.2485, 3.4770) | boundary mode
  step   63 | (1.3066, 3.4380) | boundary mode
  step   64 | (1.3066, 3.4380) | m-line crossed (d=1.31 < hit=2.83) — goal mode
  step   65 | (1.3044, 3.5080) | goal mode
  step   66 | (1.3022, 3.5779) | goal mode
  step   67 | (1.3000, 3.6479) | goal mode
  step   68 | (1.2978, 3.7179) | goal mode
  step   69 | (1.2956, 3.7878) | goal mode
  step   70 | (1.2934, 3.8578) | goal mode
  step   71 | (1.2912, 3.9278) | goal mode
  step   72 | (1.2912, 3.9278) | sensed [4]
  step   73 | (1.2912, 3.9278) | obstacle hit (d=0.82) — boundary mode
  step   74 | (1.2769, 3.9963) | boundary mode
  step   75 | (1.2747, 4.0663) | boundary mode
  step   76 | (1.2725, 4.1362) | boundary mode
  step   77 | (1.2725, 4.1362) | m-line crossed (d=0.61 < hit=0.82) — goal mode
