Bug2 Simulation Log
Scene: 055   Date: 2026-04-15 14:25:20
======================================================================

Family: sparse
Result: SUCCESS  (65 steps)
--------------------------------------------------
  step    0 | (3.5237, 0.9955) | start
  step    1 | (3.5422, 1.0630) | goal mode
  step    2 | (3.5422, 1.0630) | sensed [0]
  step    3 | (3.5607, 1.1305) | goal mode
  step    4 | (3.5792, 1.1980) | goal mode
  step    5 | (3.5977, 1.2655) | goal mode
  step    6 | (3.5977, 1.2655) | sensed [6]
  step    7 | (3.6163, 1.3330) | goal mode
  step    8 | (3.6348, 1.4006) | goal mode
  step    9 | (3.6533, 1.4681) | goal mode
  step   10 | (3.6718, 1.5356) | goal mode
  step   11 | (3.6903, 1.6031) | goal mode
  step   12 | (3.7089, 1.6706) | goal mode
  step   13 | (3.7274, 1.7381) | goal mode
  step   14 | (3.7459, 1.8056) | goal mode
  step   15 | (3.7644, 1.8731) | goal mode
  step   16 | (3.7829, 1.9406) | goal mode
  step   17 | (3.8015, 2.0081) | goal mode
  step   18 | (3.8200, 2.0756) | goal mode
  step   19 | (3.8200, 2.0756) | sensed [8]
  step   20 | (3.8385, 2.1431) | goal mode
  step   21 | (3.8570, 2.2106) | goal mode
  step   22 | (3.8755, 2.2781) | goal mode
  step   23 | (3.8941, 2.3456) | goal mode
  step   24 | (3.9126, 2.4131) | goal mode
  step   25 | (3.9311, 2.4806) | goal mode
  step   26 | (3.9496, 2.5482) | goal mode
  step   27 | (3.9681, 2.6157) | goal mode
  step   28 | (3.9866, 2.6832) | goal mode
  step   29 | (4.0052, 2.7507) | goal mode
  step   30 | (4.0237, 2.8182) | goal mode
  step   31 | (4.0422, 2.8857) | goal mode
  step   32 | (4.0607, 2.9532) | goal mode
  step   33 | (4.0792, 3.0207) | goal mode
  step   34 | (4.0978, 3.0882) | goal mode
  step   35 | (4.1163, 3.1557) | goal mode
  step   36 | (4.1348, 3.2232) | goal mode
  step   37 | (4.1533, 3.2907) | goal mode
  step   38 | (4.1718, 3.3582) | goal mode
  step   39 | (4.1904, 3.4257) | goal mode
  step   40 | (4.2089, 3.4932) | goal mode
  step   41 | (4.2274, 3.5607) | goal mode
  step   42 | (4.2459, 3.6282) | goal mode
  step   43 | (4.2644, 3.6957) | goal mode
  step   44 | (4.2830, 3.7633) | goal mode
  step   45 | (4.3015, 3.8308) | goal mode
  step   46 | (4.3200, 3.8983) | goal mode
