Bug2 Simulation Log
Scene: 063   Date: 2026-04-15 14:25:29
======================================================================

Family: sparse
Result: SUCCESS  (60 steps)
--------------------------------------------------
  step    0 | (0.8270, 3.6539) | start
  step    1 | (0.8270, 3.6539) | sensed [2, 10]
  step    2 | (0.8970, 3.6523) | goal mode
  step    3 | (0.9670, 3.6508) | goal mode
  step    4 | (1.0370, 3.6492) | goal mode
  step    5 | (1.1069, 3.6477) | goal mode
  step    6 | (1.1769, 3.6461) | goal mode
  step    7 | (1.2469, 3.6446) | goal mode
  step    8 | (1.3169, 3.6430) | goal mode
  step    9 | (1.3869, 3.6415) | goal mode
  step   10 | (1.3869, 3.6415) | sensed [3]
  step   11 | (1.4569, 3.6399) | goal mode
  step   12 | (1.5268, 3.6384) | goal mode
  step   13 | (1.5968, 3.6368) | goal mode
  step   14 | (1.6668, 3.6353) | goal mode
  step   15 | (1.7368, 3.6337) | goal mode
  step   16 | (1.8068, 3.6322) | goal mode
  step   17 | (1.8768, 3.6306) | goal mode
  step   18 | (1.9467, 3.6291) | goal mode
  step   19 | (2.0167, 3.6275) | goal mode
  step   20 | (2.0867, 3.6260) | goal mode
  step   21 | (2.1567, 3.6244) | goal mode
  step   22 | (2.2267, 3.6229) | goal mode
  step   23 | (2.2967, 3.6213) | goal mode
  step   24 | (2.3666, 3.6198) | goal mode
  step   25 | (2.4366, 3.6182) | goal mode
  step   26 | (2.5066, 3.6167) | goal mode
  step   27 | (2.5766, 3.6151) | goal mode
  step   28 | (2.6466, 3.6136) | goal mode
  step   29 | (2.7165, 3.6120) | goal mode
  step   30 | (2.7865, 3.6105) | goal mode
  step   31 | (2.8565, 3.6089) | goal mode
  step   32 | (2.9265, 3.6074) | goal mode
  step   33 | (2.9965, 3.6058) | goal mode
  step   34 | (3.0665, 3.6043) | goal mode
  step   35 | (3.1364, 3.6027) | goal mode
  step   36 | (3.2064, 3.6012) | goal mode
  step   37 | (3.2764, 3.5996) | goal mode
  step   38 | (3.3464, 3.5981) | goal mode
  step   39 | (3.4164, 3.5965) | goal mode
  step   40 | (3.4864, 3.5950) | goal mode
  step   41 | (3.5563, 3.5934) | goal mode
  step   42 | (3.6263, 3.5919) | goal mode
  step   43 | (3.6963, 3.5903) | goal mode
  step   44 | (3.7663, 3.5888) | goal mode
  step   45 | (3.8363, 3.5872) | goal mode
  step   46 | (3.9063, 3.5857) | goal mode
  step   47 | (3.9762, 3.5842) | goal mode
  step   48 | (4.0462, 3.5826) | goal mode
  step   49 | (4.1162, 3.5811) | goal mode
  step   50 | (4.1862, 3.5795) | goal mode
  step   51 | (4.2562, 3.5780) | goal mode
  step   52 | (4.3262, 3.5764) | goal mode
  step   53 | (4.3961, 3.5749) | goal mode
  step   54 | (4.4661, 3.5733) | goal mode
  step   55 | (4.5361, 3.5718) | goal mode
  step   56 | (4.6061, 3.5702) | goal mode
  step   57 | (4.6761, 3.5687) | goal mode
  step   58 | (4.7461, 3.5671) | goal mode
  step   59 | (4.7469, 3.5671) | goal reached

Family: cluttered
Result: SUCCESS  (109 steps)
--------------------------------------------------
  step    0 | (0.8270, 3.6539) | start
  step    1 | (0.8270, 3.6539) | sensed [2, 10]
  step    2 | (0.8970, 3.6523) | goal mode
  step    3 | (0.9670, 3.6508) | goal mode
  step    4 | (1.0370, 3.6492) | goal mode
  step    5 | (1.1069, 3.6477) | goal mode
  step    6 | (1.1769, 3.6461) | goal mode
  step    7 | (1.2469, 3.6446) | goal mode
  step    8 | (1.3169, 3.6430) | goal mode
  step    9 | (1.3869, 3.6415) | goal mode
  step   10 | (1.3869, 3.6415) | sensed [3]
  step   11 | (1.4569, 3.6399) | goal mode
  step   12 | (1.5268, 3.6384) | goal mode
  step   13 | (1.5968, 3.6368) | goal mode
  step   14 | (1.6668, 3.6353) | goal mode
  step   15 | (1.6668, 3.6353) | sensed [25]
  step   16 | (1.7368, 3.6337) | goal mode
  step   17 | (1.8068, 3.6322) | goal mode
  step   18 | (1.8768, 3.6306) | goal mode
  step   19 | (1.9467, 3.6291) | goal mode
  step   20 | (2.0167, 3.6275) | goal mode
  step   21 | (2.0167, 3.6275) | sensed [12]
